1,天海春香,如月千早,星井美希,目指せ！トップアイドル,,
2,天海春香,如月千早,水瀬伊織,目指せ！トップアイドル,,
3,天海春香,如月千早,萩原雪歩,目指せ！トップアイドル,ハイスクールガールズ,Autumn Constellations
4,天海春香,如月千早,菊地真,目指せ！トップアイドル,ハイスクールガールズ,
5,天海春香,星井美希,水瀬伊織,目指せ！トップアイドル,,
6,天海春香,星井美希,萩原雪歩,目指せ！トップアイドル,,
7,天海春香,星井美希,菊地真,目指せ！トップアイドル,,
8,天海春香,水瀬伊織,萩原雪歩,目指せ！トップアイドル,,
9,天海春香,水瀬伊織,菊地真,目指せ！トップアイドル,,
10,天海春香,萩原雪歩,菊地真,目指せ！トップアイドル,ハイスクールガールズ,
11,如月千早,星井美希,水瀬伊織,目指せ！トップアイドル,,
12,如月千早,星井美希,萩原雪歩,目指せ！トップアイドル,,
13,如月千早,星井美希,菊地真,目指せ！トップアイドル,,
14,如月千早,水瀬伊織,萩原雪歩,目指せ！トップアイドル,,
15,如月千早,水瀬伊織,菊地真,目指せ！トップアイドル,,
16,如月千早,萩原雪歩,菊地真,目指せ！トップアイドル,ハイスクールガールズ,
17,星井美希,水瀬伊織,萩原雪歩,目指せ！トップアイドル,,
18,星井美希,水瀬伊織,菊地真,目指せ！トップアイドル,,
19,星井美希,萩原雪歩,菊地真,目指せ！トップアイドル,,
20,水瀬伊織,萩原雪歩,菊地真,目指せ！トップアイドル,,
21,天海春香,如月千早,島村卯月,ハイスクールガールズ,,
22,天海春香,如月千早,渋谷凛,ハイスクールガールズ,,
23,天海春香,如月千早,本田未央,ハイスクールガールズ,,
24,天海春香,如月千早,神崎蘭子,Autumn Constellations,,
25,天海春香,如月千早,春日未来,境界を超える絆,,
26,天海春香,如月千早,最上静香,境界を超える絆,,
27,天海春香,如月千早,伊吹翼,境界を超える絆,,
28,天海春香,如月千早,真壁瑞希,ハイスクールガールズ,Autumn Constellations,
29,天海春香,如月千早,周防桃子,境界を超える絆,,
30,天海春香,如月千早,天道輝,Autumn Constellations,,
31,天海春香,如月千早,桜庭薫,境界を超える絆,,
32,天海春香,如月千早,柏木翼,境界を超える絆,,
33,天海春香,如月千早,硲道夫,Autumn Constellations,,
34,天海春香,如月千早,櫻木真乃,ハイスクールガールズ,,
35,天海春香,如月千早,風野灯織,ハイスクールガールズ,Autumn Constellations,
36,天海春香,如月千早,八宮めぐる,ハイスクールガールズ,,
37,天海春香,如月千早,小宮果穂,境界を超える絆,,
38,天海春香,如月千早,花海咲季,ハイスクールガールズ,Autumn Constellations,
39,天海春香,如月千早,月村手毬,ハイスクールガールズ,,
40,天海春香,如月千早,藤田ことね,ハイスクールガールズ,,
41,天海春香,如月千早,紫雲清夏,ハイスクールガールズ,,
42,天海春香,星井美希,島村卯月,境界を超える絆,,
43,天海春香,星井美希,渋谷凛,境界を超える絆,,
44,天海春香,星井美希,本田未央,境界を超える絆,,
45,天海春香,星井美希,神崎蘭子,境界を超える絆,,
46,天海春香,星井美希,春日未来,境界を超える絆,,
47,天海春香,星井美希,最上静香,境界を超える絆,,
48,天海春香,星井美希,伊吹翼,境界を超える絆,,
49,天海春香,星井美希,真壁瑞希,境界を超える絆,,
50,天海春香,星井美希,周防桃子,境界を超える絆,,
51,天海春香,星井美希,天道輝,境界を超える絆,,
52,天海春香,星井美希,桜庭薫,境界を超える絆,,
53,天海春香,星井美希,柏木翼,境界を超える絆,,
54,天海春香,星井美希,硲道夫,境界を超える絆,,
55,天海春香,星井美希,櫻木真乃,境界を超える絆,,
56,天海春香,星井美希,風野灯織,境界を超える絆,,
57,天海春香,星井美希,八宮めぐる,境界を超える絆,,
58,天海春香,星井美希,小宮果穂,境界を超える絆,,
59,天海春香,星井美希,花海咲季,境界を超える絆,,
60,天海春香,星井美希,月村手毬,境界を超える絆,,
61,天海春香,星井美希,藤田ことね,境界を超える絆,,
62,天海春香,星井美希,紫雲清夏,境界を超える絆,,
63,天海春香,水瀬伊織,島村卯月,境界を超える絆,,
64,天海春香,水瀬伊織,渋谷凛,境界を超える絆,,
65,天海春香,水瀬伊織,本田未央,境界を超える絆,,
66,天海春香,水瀬伊織,神崎蘭子,境界を超える絆,,
67,天海春香,水瀬伊織,春日未来,境界を超える絆,,
68,天海春香,水瀬伊織,最上静香,境界を超える絆,,
69,天海春香,水瀬伊織,伊吹翼,境界を超える絆,,
70,天海春香,水瀬伊織,真壁瑞希,境界を超える絆,,
